Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,% change in P3,Bach,% change in P3,Beethoven,% change in P3,Chopin,% change in P3,Gibbons,% change in P3,Mozart,Average % change in P3,,,Average % change over all cases,
ForthCTSegment,Forth,Segment,Z,Z,CT,Z,,0.1986,,0.4784,,0.2217,,0.3133,,0.5178,,,,,
ReForthSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,Z,51.07033639,0.1976,-9.381044487,0.2811,-8.422608053,0.2479,-10.5796514,0.2206,7.619738752,0.2966,6.061354241,,,,
ReForthSegment,Forth,Segment,RecurSIA,Z,Z,Z,0,0.1308,-0.193423598,0.3096,-2.512005911,0.2639,-10.5796514,0.2206,12.37300435,0.3097,-0.182415311,,,,
ForthSegment-RRT,Forth,Segment,Z,RRT,Z,Z,51.07033639,0.1976,-15.63507415,0.2617,-1.145179165,0.2676,0,0.2467,-4.281567489,0.2638,6.001703118,,,,
ForthSegment,Forth,Segment,Z,Z,Z,Z,,0.1308,,0.3102,,0.2707,,0.2467,,0.2756,,,,,
ReSIARCTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,R,-44.88341969,0.0851,-0.856989823,0.1851,-14.21602787,0.1231,16.46273637,0.2094,-28.6971831,0.2025,-14.43817682,,,,
ReSIARCTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,R,-41.51554404,0.0903,-6.427423674,0.1747,-14.21602787,0.1231,15.85094549,0.2083,-29.15492958,0.2012,-15.09259593,,,,
SIARCTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,R,-13.73056995,0.1332,3.481521157,0.1932,0,0.1435,-2.725250278,0.1749,0,0.284,-2.594859814,,,,
SIARCTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,R,,0.1544,,0.1867,,0.1435,,0.1798,,0.284,,,,,
ReSIARTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,R,-27.69878884,0.1373,-34.19858414,0.3625,-41.80587862,0.2752,-25.6718529,0.3153,-30.00397931,0.3518,-31.87581676,,,,
ReSIARTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,R,-44.54976303,0.1053,-37.99237611,0.3416,-43.41298372,0.2676,-25.6718529,0.3153,-34.91842419,0.3271,-37.30907999,,,,
SIARTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,R,3.054239073,0.1957,2.759121438,0.5661,1.966589131,0.4822,0,0.4242,1.352964584,0.5094,1.826582845,,,,
SIARTECCompressSegment,SIATECCompress,Segment,Z,Z,Z,R,,0.1899,,0.5509,,0.4729,,0.4242,,0.5026,,,,,
ReSIACTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,Z,-44.88341969,0.0851,-0.856989823,0.1851,-14.21602787,0.1231,16.46273637,0.2094,-28.6971831,0.2025,-14.43817682,,,,
ReSIACTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,Z,-41.51554404,0.0903,-6.427423674,0.1747,-14.21602787,0.1231,15.85094549,0.2083,-29.15492958,0.2012,-15.09259593,,,,
SIACTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,Z,-13.73056995,0.1332,3.481521157,0.1932,0,0.1435,-2.725250278,0.1749,0,0.284,-2.594859814,,,,
SIACTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,Z,,0.1544,,0.1867,,0.1435,,0.1798,,0.284,,,,,
ReSIATECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,Z,-27.67772512,0.1526,-36.96980276,0.3611,-42.53892216,0.2399,-26.38023631,0.3427,-40.48826291,0.3169,-34.81098985,,,,
ReSIATECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,Z,-16.91943128,0.1753,-35.10211206,0.3718,-44.11976048,0.2333,-26.38023631,0.3427,-37.97183099,0.3303,-32.09867422,,,,
SIATECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,Z,3.45971564,0.2183,-6.68528539,0.5346,-0.934131737,0.4136,0,0.4655,-2.028169014,0.5217,-1.2375741,,,,
SIATECCompressSegment,SIATECCompress,Segment,Z,Z,Z,Z,,0.211,,0.5729,,0.4175,,0.4655,,0.5325,,,,,
ReCOSIARCTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,R,-31.15264798,0.1105,-26.32084534,0.0767,-11.11111111,0.0272,0,0.1314,-39.07216495,0.1182,-21.53135388,,,,
ReCOSIARCTTEC,COSIATEC,Z,RecurSIA,Z,CT,R,-47.91277259,0.0836,-25.45629203,0.0776,-11.11111111,0.0272,0,0.1314,-44.02061856,0.1086,-25.70015886,,,,
COSIARCTTEC-RRT,COSIATEC,Z,Z,RRT,CT,R,-2.803738318,0.156,3.554274736,0.1078,0,0.0306,0,0.1314,-0.309278351,0.1934,0.088251614,,,,
COSIARCTTEC,COSIATEC,Z,Z,Z,CT,R,,0.1605,,0.1041,,0.0306,,0.1314,,0.194,,,,,
ReCOSIARTEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,R,-22.40437158,0.0852,-38.50509626,0.0543,-2.030456853,0.0193,-21.58498436,0.0752,-43.1372549,0.0667,-25.53243279,,,,
ReCOSIARTEC,COSIATEC,Z,RecurSIA,Z,Z,R,-37.79599271,0.0683,-34.8810872,0.0575,-12.18274112,0.0173,-21.58498436,0.0752,-36.65814152,0.0743,-28.62058938,,,,
COSIARTEC-RRT,COSIATEC,Z,Z,RRT,Z,R,13.47905282,0.1246,-13.25028313,0.0766,10.65989848,0.0218,0,0.0959,-8.610400682,0.1072,0.455653499,,,,
COSIARTEC,COSIATEC,Z,Z,Z,Z,R,,0.1098,,0.0883,,0.0197,,0.0959,,0.1173,,,,,
ReCOSIACTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,Z,-31.15264798,0.1105,-26.32084534,0.0767,-11.11111111,0.0272,0,0.1314,-41.88481675,0.1221,-22.09388424,,,,
ReCOSIACTTEC,COSIATEC,Z,RecurSIA,Z,CT,Z,-47.91277259,0.0836,-25.45629203,0.0776,-11.11111111,0.0272,0,0.1314,-46.83484055,0.1117,-26.26300326,,,,
COSIACTTEC-RRT,COSIATEC,Z,Z,RRT,CT,Z,-2.803738318,0.156,3.554274736,0.1078,0,0.0306,0,0.1314,-0.333174679,0.2094,0.083472348,,,,
COSIACTTEC,COSIATEC,Z,Z,Z,CT,Z,,0.1605,,0.1041,,0.0306,,0.1314,,0.2101,,,,,
ReCOSIATEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,Z,-20.19927536,0.0881,-44.02834008,0.0553,-31.62939297,0.0214,-3.947368421,0.1022,-43.94041977,0.0828,-28.74895932,,,,
ReCOSIATEC,COSIATEC,Z,RecurSIA,Z,Z,Z,-3.079710145,0.107,-30.97165992,0.0682,-13.09904153,0.0272,-3.947368421,0.1022,-39.60731212,0.0892,-18.14101843,,,,
