Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,% change in CF,Bach,% change in CF,Beethoven,% change in CF,Chopin,% change in CF,Gibbons,% change in CF,Mozart,,,,Average,Average summing over all individually
ForthRSegment-RRT,Forth,Segment,Z,RRT,Z,R,,1.8413,,1.0427,,1.1566,,1.0882,,1.3488,,,,,
ForthRSegment,Forth,Segment,Z,Z,Z,R,,1.8367,,1.2669,,1.1174,,1.0882,,1.3488,,,,,
ReForthCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,Z,,1.7873,,3.126,,1.932,,1.7713,,3.2537,,,,,
ReForthCTSegment,Forth,Segment,RecurSIA,Z,CT,Z,,1.6281,,2.3882,,1.9195,,1.7713,,3.1767,,,,,
ForthCTSegment-RRT,Forth,Segment,Z,RRT,CT,Z,,1.7488,,2.3919,,1.7422,,1.5782,,2.5349,,,,,
ForthCTSegment,Forth,Segment,Z,Z,CT,Z,,1.5961,,1.8073,,1.7321,,1.5782,,2.5239,,,,,
ReForthSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,Z,,1.1585,,0.9891,,1.2271,,1.1978,,1.5475,,,,,
ReForthSegment,Forth,Segment,RecurSIA,Z,Z,Z,,1.2327,,0.8427,,1.1382,,1.1978,,1.6376,,,,,
ForthSegment-RRT,Forth,Segment,Z,RRT,Z,Z,,1.1585,,0.9355,,1.1186,,1.0954,,1.3457,,,,,
ForthSegment,Forth,Segment,Z,Z,Z,Z,,1.2327,,0.804,,1.0603,,1.0954,,1.3732,,,,,
ReSIARCTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,R,,1.8184,,2.8748,,2.001,,1.5346,,2.8874,,,,,
ReSIARCTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,R,,1.7322,,2.7125,,1.999,,1.5275,,2.8312,,,,,
SIARCTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,R,,1.6766,,2.4413,,1.9019,,1.4605,,2.3793,,,,,
SIARCTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,R,,1.6208,,2.3409,,1.9002,,1.4605,,2.3793,,,,,
ReSIARTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,R,,1.9704,,2.1421,,1.8643,,1.5136,,1.8339,,,,,
ReSIARTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,R,,1.8367,,2.0317,,1.7857,,1.5136,,1.7616,,,,,
SIARTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,R,,1.8005,,1.7946,,1.6693,,1.4416,,1.5956,,,,,
SIARTECCompressSegment,SIATECCompress,Segment,Z,Z,Z,R,,1.7488,,1.7597,,1.6326,,1.4416,,1.5502,,,,,
ReSIACTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,Z,,1.8184,,2.8748,,2.001,,1.5346,,2.8874,,,,,
ReSIACTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,Z,,1.7322,,2.7125,,1.999,,1.5275,,2.8312,,,,,
SIACTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,Z,,1.6766,,2.4413,,1.9019,,1.4605,,2.3793,,,,,
SIACTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,Z,,1.6208,,2.3409,,1.9002,,1.4605,,2.3793,,,,,
ReSIATECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,Z,,1.9864,,2.2003,,1.8012,,1.5417,,2.6505,,,,,
ReSIATECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,Z,,1.9136,,2.029,,1.8527,,1.5417,,2.6464,,,,,
SIATECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,Z,,1.8601,,1.9035,,1.6123,,1.4735,,2.2359,,,,,
SIATECCompressSegment,SIATECCompress,Segment,Z,Z,Z,Z,,1.8139,,1.8009,,1.6627,,1.4735,,2.2445,,,,,
ReCOSIARCTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,R,,2.7276,,4.2841,,3.3253,,2.0813,,4.3062,,,,,
ReCOSIARCTTEC,COSIATEC,Z,RecurSIA,Z,CT,R,,2.6875,,4.2369,,3.32,,2.0813,,4.2228,,,,,
COSIARCTTEC-RRT,COSIATEC,Z,Z,RRT,CT,R,,2.639,,4.0262,,3.278,,2.0813,,3.9727,,,,,
COSIARCTTEC,COSIATEC,Z,Z,Z,CT,R,,2.6107,,4.0157,,3.2729,,2.0813,,3.9727,,,,,
ReCOSIARTEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,R,,2.9357,,3.8546,,3.2022,,2.2653,,4.2956,,,,,
ReCOSIARTEC,COSIATEC,Z,RecurSIA,Z,Z,R,,2.7074,,4.1344,,3.0924,,2.2653,,4.0939,,,,,
COSIARTEC-RRT,COSIATEC,Z,Z,RRT,Z,R,,2.7795,,3.5356,,3.0832,,2.22,,3.7996,,,,,
COSIARTEC,COSIATEC,Z,Z,Z,Z,R,,2.6777,,3.845,,2.9685,,2.22,,3.7265,,,,,
ReCOSIACTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,Z,,2.7276,,4.2841,,3.3253,,2.0813,,4.2956,,,,,
ReCOSIACTTEC,COSIATEC,Z,RecurSIA,Z,CT,Z,,2.6875,,4.2369,,3.32,,2.0813,,4.2126,,,,,
COSIACTTEC-RRT,COSIATEC,Z,Z,RRT,CT,Z,,2.639,,4.0262,,3.278,,2.0813,,3.9636,,,,,
COSIACTTEC,COSIATEC,Z,Z,Z,CT,Z,,2.6107,,4.0157,,3.2729,,2.0813,,3.9636,,,,,
ReCOSIATEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,Z,,2.9715,,4.1013,,3.9299,,2.3451,,4.7912,,,,,
ReCOSIATEC,COSIATEC,Z,RecurSIA,Z,Z,Z,,2.7175,,4.1793,,4.0448,,2.3451,,4.6882,,,,,
COSIATEC-RRT,COSIATEC,Z,Z,RRT,Z,Z,,2.8115,,3.8259,,3.7054,,2.3125,,4.2641,,,,,
COSIATEC,COSIATEC,Z,Z,Z,Z,Z,,2.6875,,3.8741,,3.7796,,2.3125,,4.2228,,,,,
ReForthRCT-RRT,Forth,Z,RecurSIA,RRT,CT,R,,1.7873,,3.126,,1.932,,1.7713,,3.2537,,,,,
ReForthRCT,Forth,Z,RecurSIA,Z,CT,R,,1.6281,,2.3882,,1.9195,,1.7713,,3.1767,,,,,
ForthRCT-RRT,Forth,Z,Z,RRT,CT,R,,1.7488,,2.3919,,1.7422,,1.5782,,2.5349,,,,,
ForthRCT,Forth,Z,Z,Z,CT,R,,1.5961,,1.8073,,1.7321,,1.5782,,2.5239,,,,,
ReForthR-RRT,Forth,Z,RecurSIA,RRT,Z,R,,2.1066,,1.1276,,1.244,,1.1327,,1.6284,,,,,
ReForthR,Forth,Z,RecurSIA,Z,Z,R,,2.0826,,1.3906,,1.1898,,1.1327,,1.6089,,,,,
ForthR-RRT,Forth,Z,Z,RRT,Z,R,,1.8413,,1.0427,,1.1566,,1.0882,,1.3488,,,,,
ForthR,Forth,Z,Z,Z,Z,R,,1.8367,,1.2669,,1.1174,,1.0882,,1.3488,,,,,
ReForthCT-RRT,Forth,Z,RecurSIA,RRT,CT,Z,,1.7873,,3.126,,1.932,,1.7713,,3.2537,,,,,
ReForthCT,Forth,Z,RecurSIA,Z,CT,Z,,1.6281,,2.3882,,1.9195,,1.7713,,3.1767,,,,,
ForthCT-RRT,Forth,Z,Z,RRT,CT,Z,,1.7488,,2.3919,,1.7422,,1.5782,,2.5349,,,,,
ForthCT,Forth,Z,Z,Z,CT,Z,,1.5961,,1.8073,,1.7321,,1.5782,,2.5239,,,,,
ReForth-RRT,Forth,Z,RecurSIA,RRT,Z,Z,,1.1585,,0.9891,,1.2271,,1.1978,,1.5475,,,,,
ReForth,Forth,Z,RecurSIA,Z,Z,Z,,1.2327,,0.8427,,1.1382,,1.1978,,1.6376,,,,,
Forth-RRT,Forth,Z,Z,RRT,Z,Z,,1.1585,,0.9355,,1.1186,,1.0954,,1.3457,,,,,
Forth,Forth,Z,Z,Z,Z,Z,,1.2327,,0.804,,1.0603,,1.0954,,1.3732,,,,,
ReSIARCTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,R,,1.8184,,2.8748,,2.001,,1.5346,,2.8874,,,,,
ReSIARCTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,R,,1.7322,,2.7125,,1.999,,1.5275,,2.8312,,,,,
