Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,,Bach,,Beethoven,,Chopin,,Gibbons,,Mozart
ReForthSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,Z,,1.1585,,0.9891,,1.2271,,1.1978,,1.5475
ReForthCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,Z,,1.7873,,3.126,,1.932,,1.7713,,3.2537
ReForthRSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,R,,2.1066,,1.1276,,1.244,,1.1327,,1.6284
ReForthRCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,R,,1.7873,,3.126,,1.932,,1.7713,,3.2537
ReSIATECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,Z,,1.9864,,2.2003,,1.8012,,1.5417,,2.6505
ReSIACTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,Z,,1.8184,,2.8748,,2.001,,1.5346,,2.8874
ReSIARTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,R,,1.9704,,2.1421,,1.8643,,1.5136,,1.8339
ReSIARCTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,R,,1.8184,,2.8748,,2.001,,1.5346,,2.8874
ReCOSIATECSegment,COSIATEC,Segment,RecurSIA,Z,Z,Z,,2.7175,,4.1793,,4.0448,,2.3451,,4.6882
ReCOSIACTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,Z,,2.6875,,4.2369,,3.32,,2.0813,,4.2126
ReCOSIARTECSegment,COSIATEC,Segment,RecurSIA,Z,Z,R,,2.7074,,4.1344,,3.0924,,2.2653,,4.0939
ReCOSIARCTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,R,,2.6875,,4.2369,,3.32,,2.0813,,4.2228
ReForthSegment,Forth,Segment,RecurSIA,Z,Z,Z,,1.2327,,0.8427,,1.1382,,1.1978,,1.6376
ReForthCTSegment,Forth,Segment,RecurSIA,Z,CT,Z,,1.6281,,2.3882,,1.9195,,1.7713,,3.1767
ReForthRSegment,Forth,Segment,RecurSIA,Z,Z,R,,2.0826,,1.3906,,1.1898,,1.1327,,1.6089
ReForthRCTSegment,Forth,Segment,RecurSIA,Z,CT,R,,1.6281,,2.3882,,1.9195,,1.7713,,3.1767
ReSIATECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,Z,,1.9136,,2.029,,1.8527,,1.5417,,2.6464
ReSIACTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,Z,,1.7322,,2.7125,,1.999,,1.5275,,2.8312
ReSIARTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,R,,1.8367,,2.0317,,1.7857,,1.5136,,1.7616
ReSIARCTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,R,,1.7322,,2.7125,,1.999,,1.5275,,2.8312
COSIATECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,Z,,2.8115,,3.8259,,3.7054,,2.3125,,4.2641
COSIACTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,Z,,2.639,,4.0262,,3.278,,2.0813,,3.9636
COSIARTECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,R,,2.7795,,3.5356,,3.0832,,2.22,,3.7996
COSIARCTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,R,,2.639,,4.0262,,3.278,,2.0813,,3.9727
ForthSegment-RRT,Forth,Segment,Z,RRT,Z,Z,,1.1585,,0.9355,,1.1186,,1.0954,,1.3457
ForthCTSegment-RRT,Forth,Segment,Z,RRT,CT,Z,,1.7488,,2.3919,,1.7422,,1.5782,,2.5349
ForthRSegment-RRT,Forth,Segment,Z,RRT,Z,R,,1.8413,,1.0427,,1.1566,,1.0882,,1.3488
ForthRCTSegment-RRT,Forth,Segment,Z,RRT,CT,R,,1.7488,,2.3919,,1.7422,,1.5782,,2.5349
SIATECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,Z,,1.8601,,1.9035,,1.6123,,1.4735,,2.2359
SIACTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,Z,,1.6766,,2.4413,,1.9019,,1.4605,,2.3793
SIARTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,R,,1.8005,,1.7946,,1.6693,,1.4416,,1.5956
SIARCTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,R,,1.6766,,2.4413,,1.9019,,1.4605,,2.3793
COSIATECSegment,COSIATEC,Segment,Z,Z,Z,Z,,2.6875,,3.8741,,3.7796,,2.3125,,4.2228
COSIACTTECSegment,COSIATEC,Segment,Z,Z,CT,Z,,2.6107,,4.0157,,3.2729,,2.0813,,3.9636
COSIARTECSegment,COSIATEC,Segment,Z,Z,Z,R,,2.6777,,3.845,,2.9685,,2.22,,3.7265
COSIARCTTECSegment,COSIATEC,Segment,Z,Z,CT,R,,2.6107,,4.0157,,3.2729,,2.0813,,3.9727
ForthSegment,Forth,Segment,Z,Z,Z,Z,,1.2327,,0.804,,1.0603,,1.0954,,1.3732
ForthCTSegment,Forth,Segment,Z,Z,CT,Z,,1.5961,,1.8073,,1.7321,,1.5782,,2.5239
ForthRSegment,Forth,Segment,Z,Z,Z,R,,1.8367,,1.2669,,1.1174,,1.0882,,1.3488
ForthRCTSegment,Forth,Segment,Z,Z,CT,R,,1.5961,,1.8073,,1.7321,,1.5782,,2.5239
SIATECCompressSegment,SIATECCompress,Segment,Z,Z,Z,Z,,1.8139,,1.8009,,1.6627,,1.4735,,2.2445
SIACTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,Z,,1.6208,,2.3409,,1.9002,,1.4605,,2.3793
SIARTECCompressSegment,SIATECCompress,Segment,Z,Z,Z,R,,1.7488,,1.7597,,1.6326,,1.4416,,1.5502
SIARCTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,R,,1.6208,,2.3409,,1.9002,,1.4605,,2.3793
ReCOSIATECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,Z,,2.9715,,4.1013,,3.9299,,2.3451,,4.7912
ReCOSIACTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,Z,,2.7276,,4.2841,,3.3253,,2.0813,,4.2956
ReCOSIARTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,R,,2.9357,,3.8546,,3.2022,,2.2653,,4.2956
ReCOSIARCTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,R,,2.7276,,4.2841,,3.3253,,2.0813,,4.3062
ReForthBB-RRT,Forth,BB,RecurSIA,RRT,Z,Z,,1.1585,,0.9891,,1.2271,,1.1978,,1.5475
ReForthCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,Z,,1.7873,,3.126,,1.932,,1.7713,,3.2537
ReForthRBB-RRT,Forth,BB,RecurSIA,RRT,Z,R,,2.1066,,1.1276,,1.244,,1.1327,,1.6284
ReForthRCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,R,,1.7873,,3.126,,1.932,,1.7713,,3.2537
ReSIATECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,Z,,1.9864,,2.2003,,1.8012,,1.5417,,2.6505
ReSIACTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,Z,,1.8184,,2.8748,,2.001,,1.5346,,2.8874
ReSIARTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,R,,1.9704,,2.1421,,1.8643,,1.5136,,1.8339
ReSIARCTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,R,,1.8184,,2.8748,,2.001,,1.5346,,2.8874
ReCOSIATECBB,COSIATEC,BB,RecurSIA,Z,Z,Z,,2.7175,,4.1793,,4.0448,,2.3451,,4.6882
ReCOSIACTTECBB,COSIATEC,BB,RecurSIA,Z,CT,Z,,2.6875,,4.2369,,3.32,,2.0813,,4.2126
ReCOSIARTECBB,COSIATEC,BB,RecurSIA,Z,Z,R,,2.7074,,4.1344,,3.0924,,2.2653,,4.0939
ReCOSIARCTTECBB,COSIATEC,BB,RecurSIA,Z,CT,R,,2.6875,,4.2369,,3.32,,2.0813,,4.2228
ReForthBB,Forth,BB,RecurSIA,Z,Z,Z,,1.2327,,0.8427,,1.1382,,1.1978,,1.6376
ReForthCTBB,Forth,BB,RecurSIA,Z,CT,Z,,1.6281,,2.3882,,1.9195,,1.7713,,3.1767
ReForthRBB,Forth,BB,RecurSIA,Z,Z,R,,2.0826,,1.3906,,1.1898,,1.1327,,1.6089
ReForthRCTBB,Forth,BB,RecurSIA,Z,CT,R,,1.6281,,2.3882,,1.9195,,1.7713,,3.1767
ReSIATECCompressBB,SIATECCompress,BB,RecurSIA,Z,Z,Z,,1.9136,,2.029,,1.8527,,1.5417,,2.6464
ReSIACTTECCompressBB,SIATECCompress,BB,RecurSIA,Z,CT,Z,,1.7322,,2.7125,,1.999,,1.5275,,2.8312
ReSIARTECCompressBB,SIATECCompress,BB,RecurSIA,Z,Z,R,,1.8367,,2.0317,,1.7857,,1.5136,,1.7616
ReSIARCTTECCompressBB,SIATECCompress,BB,RecurSIA,Z,CT,R,,1.7322,,2.7125,,1.999,,1.5275,,2.8312
COSIATECBB-RRT,COSIATEC,BB,Z,RRT,Z,Z,,2.8115,,3.8259,,3.7054,,2.3125,,4.2641
COSIACTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,Z,,2.639,,4.0262,,3.278,,2.0813,,3.9636
