Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart,,Average
SIACTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,Z,0.153,0.1393,0.0674,0.145,0.2239,9.5,0.14572
SIARTECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,R,0.1731,0.1491,0.0525,0.1418,0.1275,10.5,0.1288
SIARCTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,R,0.153,0.1393,0.0674,0.145,0.2239,11.5,0.14572
COSIATECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,Z,0.1229,0.5147,0.2404,0.4367,0.4749,12.5,0.35792
COSIACTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,Z,0.1105,0.3347,0.1658,0.255,0.3683,13.5,0.24686
COSIARTECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,R,0.1268,0.6251,0.2789,0.4682,0.4427,14.5,0.38834
COSIARCTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,R,0.1105,0.3347,0.1658,0.255,0.3398,15.5,0.24116
ForthSegment-RRT,Forth,Segment,Z,RRT,Z,Z,0.1976,0.2617,0.2676,0.2467,0.2638,16.5,0.24748
ForthCTSegment-RRT,Forth,Segment,Z,RRT,CT,Z,0.2079,0.3764,0.2221,0.3133,0.5237,17.5,0.32868
ForthRSegment-RRT,Forth,Segment,Z,RRT,Z,R,0.2271,0.2361,0.2169,0.2291,0.3447,18.5,0.25078
ForthRCTSegment-RRT,Forth,Segment,Z,RRT,CT,R,0.2079,0.3764,0.2221,0.3133,0.5237,19.5,0.32868
SIATECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,Z,0.2183,0.5346,0.4136,0.4655,0.5217,20.5,0.43074
SIACTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,Z,0.1332,0.1932,0.1435,0.1749,0.284,21.5,0.18576
SIARTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,R,0.1957,0.5661,0.4822,0.4242,0.5094,22.5,0.43552
