Algorithm,Bach,Beethoven,Chopin,Gibbons,Mozart
ReSIATECCompressBB-RRT,1.9864,2.2003,1.8012,1.5417,2.6505
ReSIATECCompressSegment,1.9136,2.0290,1.8527,1.5417,2.6464
ReSIATECCompressSegment-RRT,1.9864,2.2003,1.8012,1.5417,2.6505
SIACTTECCompress,1.6208,2.3409,1.9002,1.4605,2.3793
SIACTTECCompress-RRT,1.6766,2.4413,1.9019,1.4605,2.3793
SIACTTECCompressBB,1.6208,2.3409,1.9002,1.4605,2.3793
SIACTTECCompressBB-RRT,1.6766,2.4413,1.9019,1.4605,2.3793
SIACTTECCompressSegment,1.6208,2.3409,1.9002,1.4605,2.3793
SIACTTECCompressSegment-RRT,1.6766,2.4413,1.9019,1.4605,2.3793
SIARCTTECCompress,1.6208,2.3409,1.9002,1.4605,2.3793
SIARCTTECCompress-RRT,1.6766,2.4413,1.9019,1.4605,2.3793
SIARCTTECCompressBB,1.6208,2.3409,1.9002,1.4605,2.3793
SIARCTTECCompressBB-RRT,1.6766,2.4413,1.9019,1.4605,2.3793
SIARCTTECCompressSegment,1.6208,2.3409,1.9002,1.4605,2.3793
SIARCTTECCompressSegment-RRT,1.6766,2.4413,1.9019,1.4605,2.3793
SIARTECCompress,1.7488,1.7597,1.6326,1.4416,1.5502
SIARTECCompress-RRT,1.8005,1.7946,1.6693,1.4416,1.5956
SIARTECCompressBB,1.7488,1.7597,1.6326,1.4416,1.5502
SIARTECCompressBB-RRT,1.8005,1.7946,1.6693,1.4416,1.5956
SIARTECCompressSegment,1.7488,1.7597,1.6326,1.4416,1.5502
SIARTECCompressSegment-RRT,1.8005,1.7946,1.6693,1.4416,1.5956
SIATECCompress,1.8139,1.8009,1.6627,1.4735,2.2445
SIATECCompress-RRT,1.8601,1.9035,1.6123,1.4735,2.2359
SIATECCompressBB,1.8139,1.8009,1.6627,1.4735,2.2445
SIATECCompressBB-RRT,1.8601,1.9035,1.6123,1.4735,2.2359
SIATECCompressSegment,1.8139,1.8009,1.6627,1.4735,2.2445
SIATECCompressSegment-RRT,1.8601,1.9035,1.6123,1.4735,2.2359
