Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,% change in TLF1,Bach,% change in TLF1,Beethoven,% change in TLF1,Chopin,% change in TLF1,Gibbons,% change in TLF1,Mozart,Average over pieces,,,Average over all cases
COSIARCTTECSegment,COSIATEC,Segment,Z,Z,CT,R,,0.2012,,0.4157,,0.2674,,0.3342,,0.4273,,,,
ReCOSIARTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,R,-20.3672,0.1388,-8.5423,0.5107,-16.3020,0.3481,-4.7906,0.3637,-21.0653,0.3942,-14.2135,,,
ReCOSIARTECSegment,COSIATEC,Segment,RecurSIA,Z,Z,R,-31.9564,0.1186,-22.9405,0.4303,-14.4746,0.3557,-4.7906,0.3637,-26.8322,0.3654,-20.1989,,,
COSIARTECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,R,6.1388,0.185,22.4570,0.6838,-0.7935,0.4126,0.0000,0.382,7.4690,0.5367,7.0543,,,
COSIARTECSegment,COSIATEC,Segment,Z,Z,Z,R,,0.1743,,0.5584,,0.4159,,0.382,,0.4994,,,,
ReCOSIACTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,Z,-35.7853,0.1292,-21.3856,0.3268,-3.9641,0.2568,0.0000,0.3342,-29.5071,0.3175,-18.1284,,,
ReCOSIACTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,Z,-39.7117,0.1213,-21.2172,0.3275,-3.9641,0.2568,0.0000,0.3342,-33.3703,0.3001,-19.6527,,,
COSIACTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,Z,-17.0974,0.1668,2.9829,0.4281,0.0000,0.2674,0.0000,0.3342,-0.0666,0.4501,-2.8362,,,
COSIACTTECSegment,COSIATEC,Segment,Z,Z,CT,Z,,0.2012,,0.4157,,0.2674,,0.3342,,0.4504,,,,
ReCOSIATECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,Z,-18.3832,0.1474,-25.8756,0.491,7.0521,0.337,-5.2002,0.3646,-25.0903,0.4147,-13.4994,,,
ReCOSIATECSegment,COSIATEC,Segment,RecurSIA,Z,Z,Z,-3.8760,0.1736,-23.1129,0.5093,-2.8590,0.3058,-5.2002,0.3646,-25.6503,0.4116,-12.1397,,,
COSIATECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,Z,0.1107,0.1808,-7.3822,0.6135,12.0712,0.3528,0.0000,0.3846,1.4632,0.5617,1.2526,,,
COSIATECSegment,COSIATEC,Segment,Z,Z,Z,Z,,0.1806,,0.6624,,0.3148,,0.3846,,0.5536,,,,
ReForthRCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,R,5.8286,0.2778,-17.2071,0.4749,5.5003,0.3395,-1.3655,0.3106,-18.7820,0.4761,-5.2051,,,
ReForthRCTSegment,Forth,Segment,RecurSIA,Z,CT,R,-3.3905,0.2536,-6.6771,0.5353,5.4071,0.3392,-1.3655,0.3106,-18.1849,0.4796,-4.8422,,,
ForthRCTSegment-RRT,Forth,Segment,Z,RRT,CT,R,7.6952,0.2827,-21.9491,0.4477,0.1554,0.3223,0.0000,0.3149,0.6312,0.5899,-2.6935,,,
ForthRCTSegment,Forth,Segment,Z,Z,CT,R,,0.2625,,0.5736,,0.3218,,0.3149,,0.5862,,,,
