Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
ForthCT-RRT,Forth,,,RRT,CT,,0.3422,0.4128,0.2491,0.3323,0.5564
ForthCTBB,Forth,BB,,,CT,,0.3254,0.5652,0.2995,0.3162,0.5798
ForthCTBB-RRT,Forth,BB,,RRT,CT,,0.3406,0.4348,0.2997,0.3162,0.5812
ForthCTSegment,Forth,Segment,,,CT,,0.2625,0.5736,0.3268,0.3149,0.5862
ForthCTSegment-RRT,Forth,Segment,,RRT,CT,,0.2827,0.4477,0.3273,0.3149,0.5899
ForthR,Forth,,,,,R,0.2853,0.2120,0.1262,0.2973,0.2738
ForthR-RRT,Forth,,,RRT,,R,0.3097,0.1940,0.1262,0.2973,0.2738
ForthRBB,Forth,BB,,,,R,0.2704,0.3065,0.1875,0.2358,0.3309
ForthRBB-RRT,Forth,BB,,RRT,,R,0.2934,0.2618,0.1840,0.2358,0.3309
ForthRCT,Forth,,,,CT,R,0.3358,0.5493,0.2490,0.3323,0.5554
ForthRCT-RRT,Forth,,,RRT,CT,R,0.3422,0.4128,0.2491,0.3323,0.5564
ForthRCTBB,Forth,BB,,,CT,R,0.3254,0.5652,0.2995,0.3162,0.5798
ForthRCTBB-RRT,Forth,BB,,RRT,CT,R,0.3406,0.4348,0.2997,0.3162,0.5812
ForthRCTSegment,Forth,Segment,,,CT,R,0.2625,0.5736,0.3268,0.3149,0.5862
ForthRCTSegment-RRT,Forth,Segment,,RRT,CT,R,0.2827,0.4477,0.3273,0.3149,0.5899
ForthRSegment,Forth,Segment,,,,R,0.2577,0.3597,0.2852,0.2427,0.3894
ForthRSegment-RRT,Forth,Segment,,RRT,,R,0.2803,0.3133,0.2752,0.2427,0.3894
ForthSegment,Forth,Segment,,,,,0.1792,0.3774,0.3346,0.2468,0.3446
ForthSegment-RRT,Forth,Segment,,RRT,,,0.2354,0.3210,0.3269,0.2468,0.3352
ReCOSIACTTEC,COSIATEC,,RecurSIA,,CT,,0.2684,0.1357,0.0573,0.1855,0.2755
ReCOSIACTTEC-RRT,COSIATEC,,RecurSIA,RRT,CT,,0.2342,0.1409,0.0573,0.1855,0.2749
ReCOSIACTTECBB,COSIATEC,BB,RecurSIA,,CT,,0.2562,0.2025,0.1085,0.2170,0.3284
ReCOSIACTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,,0.2254,0.2235,0.1085,0.2170,0.3273
ReCOSIACTTECSegment,COSIATEC,Segment,RecurSIA,,CT,,0.2012,0.4157,0.2627,0.3342,0.4504
ReCOSIACTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,,0.1668,0.4281,0.2627,0.3342,0.4501
ReCOSIARCTTEC,COSIATEC,,RecurSIA,,CT,R,0.2684,0.1357,0.0573,0.1855,0.2613
ReCOSIARCTTEC-RRT,COSIATEC,,RecurSIA,RRT,CT,R,0.2342,0.1409,0.0573,0.1855,0.2607
ReCOSIARCTTECBB,COSIATEC,BB,RecurSIA,,CT,R,0.2562,0.2025,0.1085,0.2170,0.3131
ReCOSIARCTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,R,0.2254,0.2235,0.1085,0.2170,0.3120
ReCOSIARCTTECSegment,COSIATEC,Segment,RecurSIA,,CT,R,0.2012,0.4157,0.2627,0.3342,0.4273
ReCOSIARCTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,R,0.1668,0.4281,0.2627,0.3342,0.4280
ReCOSIARTEC,COSIATEC,,RecurSIA,,,R,0.1893,0.1217,0.0389,0.1155,0.1730
ReCOSIARTEC-RRT,COSIATEC,,RecurSIA,RRT,,R,0.1975,0.1033,0.0431,0.1155,0.1594
ReCOSIARTECBB,COSIATEC,BB,RecurSIA,,,R,0.1912,0.3365,0.1971,0.2870,0.3330
ReCOSIARTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,,R,0.2187,0.4105,0.1850,0.2870,0.2994
ReCOSIARTECSegment,COSIATEC,Segment,RecurSIA,,,R,0.1743,0.5584,0.4158,0.3820,0.4994
ReCOSIARTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,,R,0.1850,0.6838,0.4123,0.3820,0.5367
ReCOSIATEC,COSIATEC,,RecurSIA,,,,0.1853,0.1318,0.0591,0.1391,0.2116
ReCOSIATEC-RRT,COSIATEC,,RecurSIA,RRT,,,0.1852,0.0981,0.0424,0.1391,0.2025
ReCOSIATECBB,COSIATEC,BB,RecurSIA,,,,0.1976,0.4524,0.1586,0.2649,0.3645
ReCOSIATECBB-RRT,COSIATEC,BB,RecurSIA,RRT,,,0.2118,0.3262,0.1476,0.2649,0.3707
ReCOSIATECSegment,COSIATEC,Segment,RecurSIA,,,,0.1806,0.6624,0.3084,0.3846,0.5536
ReCOSIATECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,,,0.1808,0.6135,0.3459,0.3846,0.5617
ReForth,Forth,,RecurSIA,,,,0.1612,0.3163,0.1229,0.3141,0.2354
ReForth-RRT,Forth,,RecurSIA,RRT,,,0.1455,0.2647,0.1208,0.3141,0.2288
ReForthBB,Forth,BB,RecurSIA,,,,0.1629,0.3513,0.1851,0.2532,0.2831
ReForthBB-RRT,Forth,BB,RecurSIA,RRT,,,0.1661,0.2894,0.1900,0.2532,0.2753
ReForthCT,Forth,,RecurSIA,,CT,,0.3358,0.5493,0.2490,0.3323,0.5554
ReForthCT-RRT,Forth,,RecurSIA,RRT,CT,,0.3422,0.4128,0.2491,0.3323,0.5564
ReForthCTBB,Forth,BB,RecurSIA,,CT,,0.3254,0.5652,0.2995,0.3162,0.5798
ReForthCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,,0.3406,0.4348,0.2997,0.3162,0.5812
ReForthCTSegment,Forth,Segment,RecurSIA,,CT,,0.2625,0.5736,0.3268,0.3149,0.5862
ReForthCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,,0.2827,0.4477,0.3273,0.3149,0.5899
ReForthR,Forth,,RecurSIA,,,R,0.2853,0.2120,0.1262,0.2973,0.2738
ReForthR-RRT,Forth,,RecurSIA,RRT,,R,0.3097,0.1940,0.1262,0.2973,0.2738
ReForthRBB,Forth,BB,RecurSIA,,,R,0.2704,0.3065,0.1875,0.2358,0.3309
ReForthRBB-RRT,Forth,BB,RecurSIA,RRT,,R,0.2934,0.2618,0.1840,0.2358,0.3309
ReForthRCT,Forth,,RecurSIA,,CT,R,0.3358,0.5493,0.2490,0.3323,0.5554
ReForthRCT-RRT,Forth,,RecurSIA,RRT,CT,R,0.3422,0.4128,0.2491,0.3323,0.5564
ReForthRCTBB,Forth,BB,RecurSIA,,CT,R,0.3254,0.5652,0.2995,0.3162,0.5798
ReForthRCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,R,0.3406,0.4348,0.2997,0.3162,0.5812
ReForthRCTSegment,Forth,Segment,RecurSIA,,CT,R,0.2625,0.5736,0.3268,0.3149,0.5862
ReForthRCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,R,0.2827,0.4477,0.3273,0.3149,0.5899
ReForthRSegment,Forth,Segment,RecurSIA,,,R,0.2577,0.3597,0.2852,0.2427,0.3894
ReForthRSegment-RRT,Forth,Segment,RecurSIA,RRT,,R,0.2803,0.3133,0.2752,0.2427,0.3894
ReForthSegment,Forth,Segment,RecurSIA,,,,0.1792,0.3774,0.3346,0.2468,0.3446
ReForthSegment-RRT,Forth,Segment,RecurSIA,RRT,,,0.2354,0.3210,0.3269,0.2468,0.3352
ReSIACTTECCompress,SIATECCompress,,RecurSIA,,CT,,0.2817,0.1974,0.1192,0.1909,0.3126
ReSIACTTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,CT,,0.2439,0.1966,0.1192,0.1855,0.3126
ReSIACTTECCompressBB,SIATECCompress,BB,RecurSIA,,CT,,0.2741,0.2399,0.1738,0.2417,0.3530
ReSIACTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,,0.2398,0.2403,0.1739,0.2350,0.3530
ReSIACTTECCompressSegment,SIATECCompress,Segment,RecurSIA,,CT,,0.2330,0.2544,0.2302,0.2320,0.3727
ReSIACTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,,0.2041,0.2632,0.2302,0.2248,0.3727
ReSIARCTTECCompress,SIATECCompress,,RecurSIA,,CT,R,0.2817,0.1974,0.1192,0.1909,0.3126
ReSIARCTTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,CT,R,0.2439,0.1966,0.1192,0.1855,0.3126
ReSIARCTTECCompressBB,SIATECCompress,BB,RecurSIA,,CT,R,0.2741,0.2399,0.1738,0.2417,0.3530
ReSIARCTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,R,0.2398,0.2403,0.1739,0.2350,0.3530
ReSIARCTTECCompressSegment,SIATECCompress,Segment,RecurSIA,,CT,R,0.2330,0.2544,0.2302,0.2320,0.3727
ReSIARCTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,R,0.2041,0.2632,0.2302,0.2248,0.3727
ReSIARTECCompress,SIATECCompress,,RecurSIA,,,R,0.1892,0.1838,0.0937,0.1803,0.1817
ReSIARTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,,R,0.2478,0.1829,0.0964,0.1803,0.1778
ReSIARTECCompressBB,SIATECCompress,BB,RecurSIA,,,R,0.2521,0.4783,0.3902,0.3179,0.4182
ReSIARTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,,R,0.2710,0.4785,0.3924,0.3179,0.4151
ReSIARTECCompressSegment,SIATECCompress,Segment,RecurSIA,,,R,0.2443,0.6102,0.6040,0.3852,0.5608
ReSIARTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,,R,0.2554,0.6184,0.6137,0.3852,0.5570
ReSIATECCompress,SIATECCompress,,RecurSIA,,,,0.2081,0.1765,0.1095,0.1825,0.2400
ReSIATECCompress-RRT,SIATECCompress,,RecurSIA,RRT,,,0.2576,0.1720,0.1009,0.1825,0.2262
ReSIATECCompressBB,SIATECCompress,BB,RecurSIA,,,,0.2680,0.4865,0.3408,0.3243,0.4736
ReSIATECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,,,0.2877,0.4551,0.3440,0.3243,0.4462
ReSIATECCompressSegment,SIATECCompress,Segment,RecurSIA,,,,0.2828,0.6482,0.5518,0.3961,0.5558
ReSIATECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,,,0.2893,0.6173,0.5502,0.3961,0.5473
SIACTTECCompress,SIATECCompress,,,,CT,,0.2817,0.1974,0.1192,0.1909,0.3126
SIACTTECCompress-RRT,SIATECCompress,,,RRT,CT,,0.2439,0.1966,0.1192,0.1855,0.3126
SIACTTECCompressBB,SIATECCompress,BB,,,CT,,0.2741,0.2399,0.1738,0.2417,0.3530
SIACTTECCompressBB-RRT,SIATECCompress,BB,,RRT,CT,,0.2398,0.2403,0.1739,0.2350,0.3530
SIACTTECCompressSegment,SIATECCompress,Segment,,,CT,,0.2330,0.2544,0.2302,0.2320,0.3727
SIACTTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,CT,,0.2041,0.2632,0.2302,0.2248,0.3727
SIARCTTECCompress,SIATECCompress,,,,CT,R,0.2817,0.1974,0.1192,0.1909,0.3126
SIARCTTECCompress-RRT,SIATECCompress,,,RRT,CT,R,0.2439,0.1966,0.1192,0.1855,0.3126
SIARCTTECCompressBB,SIATECCompress,BB,,,CT,R,0.2741,0.2399,0.1738,0.2417,0.3530
SIARCTTECCompressBB-RRT,SIATECCompress,BB,,RRT,CT,R,0.2398,0.2403,0.1739,0.2350,0.3530
SIARCTTECCompressSegment,SIATECCompress,Segment,,,CT,R,0.2330,0.2544,0.2302,0.2320,0.3727
SIARCTTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,CT,R,0.2041,0.2632,0.2302,0.2248,0.3727
SIARTECCompress,SIATECCompress,,,,,R,0.1892,0.1838,0.0937,0.1803,0.1817
SIARTECCompress-RRT,SIATECCompress,,,RRT,,R,0.2478,0.1829,0.0964,0.1803,0.1778
SIARTECCompressBB,SIATECCompress,BB,,,,R,0.2521,0.4783,0.3902,0.3179,0.4182
SIARTECCompressBB-RRT,SIATECCompress,BB,,RRT,,R,0.2710,0.4785,0.3924,0.3179,0.4151
SIARTECCompressSegment,SIATECCompress,Segment,,,,R,0.2443,0.6102,0.6040,0.3852,0.5608
SIARTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,,R,0.2554,0.6184,0.6137,0.3852,0.5570
SIATECCompress,SIATECCompress,,,,,,0.2081,0.1765,0.1095,0.1825,0.2400
SIATECCompress-RRT,SIATECCompress,,,RRT,,,0.2576,0.1720,0.1009,0.1825,0.2262
SIATECCompressBB,SIATECCompress,BB,,,,,0.2680,0.4865,0.3408,0.3243,0.4736
SIATECCompressBB-RRT,SIATECCompress,BB,,RRT,,,0.2877,0.4551,0.3440,0.3243,0.4462
SIATECCompressSegment,SIATECCompress,Segment,,,,,0.2828,0.6482,0.5518,0.3961,0.5558
SIATECCompressSegment-RRT,SIATECCompress,Segment,,RRT,,,0.2893,0.6173,0.5502,0.3961,0.5473
