Algorithm,Bach,Beethoven,Chopin,Gibbons,Mozart
ReSIATECCompress-RRT,0.2576,0.1720,0.1009,0.1825,0.2262
ReSIATECCompressBB,0.2680,0.4865,0.3408,0.3243,0.4736
ReSIATECCompressBB-RRT,0.2877,0.4551,0.3440,0.3243,0.4462
ReSIATECCompressSegment,0.2828,0.6482,0.5518,0.3961,0.5558
ReSIATECCompressSegment-RRT,0.2893,0.6173,0.5502,0.3961,0.5473
SIACTTECCompress,0.2817,0.1974,0.1192,0.1909,0.3126
SIACTTECCompress-RRT,0.2439,0.1966,0.1192,0.1855,0.3126
SIACTTECCompressBB,0.2741,0.2399,0.1738,0.2417,0.3530
SIACTTECCompressBB-RRT,0.2398,0.2403,0.1739,0.2350,0.3530
SIACTTECCompressSegment,0.2330,0.2544,0.2302,0.2320,0.3727
SIACTTECCompressSegment-RRT,0.2041,0.2632,0.2302,0.2248,0.3727
SIARCTTECCompress,0.2817,0.1974,0.1192,0.1909,0.3126
SIARCTTECCompress-RRT,0.2439,0.1966,0.1192,0.1855,0.3126
SIARCTTECCompressBB,0.2741,0.2399,0.1738,0.2417,0.3530
SIARCTTECCompressBB-RRT,0.2398,0.2403,0.1739,0.2350,0.3530
SIARCTTECCompressSegment,0.2330,0.2544,0.2302,0.2320,0.3727
SIARCTTECCompressSegment-RRT,0.2041,0.2632,0.2302,0.2248,0.3727
SIARTECCompress,0.1892,0.1838,0.0937,0.1803,0.1817
SIARTECCompress-RRT,0.2478,0.1829,0.0964,0.1803,0.1778
SIARTECCompressBB,0.2521,0.4783,0.3902,0.3179,0.4182
SIARTECCompressBB-RRT,0.2710,0.4785,0.3924,0.3179,0.4151
SIARTECCompressSegment,0.2443,0.6102,0.6040,0.3852,0.5608
SIARTECCompressSegment-RRT,0.2554,0.6184,0.6137,0.3852,0.5570
SIATECCompress,0.2081,0.1765,0.1095,0.1825,0.2400
SIATECCompress-RRT,0.2576,0.1720,0.1009,0.1825,0.2262
SIATECCompressBB,0.2680,0.4865,0.3408,0.3243,0.4736
SIATECCompressBB-RRT,0.2877,0.4551,0.3440,0.3243,0.4462
SIATECCompressSegment,0.2828,0.6482,0.5518,0.3961,0.5558
SIATECCompressSegment-RRT,0.2893,0.6173,0.5502,0.3961,0.5473
