Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
ReForthRCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,R,0.2778,0.4749,0.3395,0.3106,0.4761
ReForthRSegment,Forth,Segment,RecurSIA,Z,Z,R,0.2175,0.5378,0.3390,0.2243,0.4213
ReForthRSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,R,0.2322,0.4464,0.3412,0.2243,0.3914
ReForthSegment,Forth,Segment,RecurSIA,Z,Z,Z,0.1792,0.4250,0.3607,0.2342,0.4068
ReForthSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,Z,0.2354,0.3961,0.3414,0.2342,0.3960
ReSIACTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,Z,0.1859,0.1514,0.0768,0.1921,0.1990
ReSIACTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,Z,0.1754,0.1545,0.0768,0.1849,0.1980
ReSIACTTECCompressBB,SIATECCompress,BB,RecurSIA,Z,CT,Z,0.1838,0.2583,0.1657,0.2857,0.2704
ReSIACTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,Z,0.1741,0.2730,0.1657,0.2895,0.2697
ReSIACTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,Z,0.1517,0.2854,0.2111,0.2765,0.3129
ReSIACTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,Z,0.1424,0.2991,0.2112,0.2807,0.3144
ReSIARCTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,R,0.1859,0.1514,0.0768,0.1921,0.1990
ReSIARCTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,R,0.1754,0.1545,0.0768,0.1849,0.1980
ReSIARCTTECCompressBB,SIATECCompress,BB,RecurSIA,Z,CT,R,0.1838,0.2583,0.1657,0.2857,0.2704
ReSIARCTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,R,0.1741,0.2730,0.1657,0.2895,0.2697
ReSIARCTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,R,0.1517,0.2854,0.2111,0.2765,0.3129
ReSIARCTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,R,0.1424,0.2991,0.2112,0.2807,0.3144
