Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
ReForthRSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,R,0.3661,0.7080,0.5119,0.2581,0.5594
ReForthSegment,Forth,Segment,RecurSIA,Z,Z,Z,0.2844,0.6777,0.5695,0.2496,0.5924
ReForthSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,Z,0.2909,0.6700,0.5478,0.2496,0.5957
ReSIACTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,Z,0.7679,0.3566,0.2098,0.2817,0.5178
ReSIACTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,Z,0.7199,0.3554,0.2098,0.2668,0.5178
ReSIACTTECCompressBB,SIATECCompress,BB,RecurSIA,Z,CT,Z,0.7378,0.7694,0.5600,0.4411,0.6588
ReSIACTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,Z,0.6984,0.7694,0.5600,0.4591,0.6588
ReSIACTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,Z,0.4741,0.7790,0.7414,0.4109,0.7028
ReSIACTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,Z,0.4360,0.7790,0.7414,0.4259,0.7028
ReSIARCTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,R,0.7679,0.3566,0.2098,0.2817,0.5178
ReSIARCTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,R,0.7199,0.3554,0.2098,0.2668,0.5178
ReSIARCTTECCompressBB,SIATECCompress,BB,RecurSIA,Z,CT,R,0.7378,0.7694,0.5600,0.4411,0.6588
ReSIARCTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,R,0.6984,0.7694,0.5600,0.4591,0.6588
ReSIARCTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,R,0.4741,0.7790,0.7414,0.4109,0.7028
