Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart,,
ForthCT-RRT,Forth,Z,Z,RRT,CT,Z,0.5121,0.5471,0.4843,0.3362,0.6725,5.5,0.51044
ForthR-RRT,Forth,Z,Z,RRT,Z,R,0.3886,0.3529,0.2873,0.3196,0.37,6.5,0.34368
ForthRCT-RRT,Forth,Z,Z,RRT,CT,R,0.5121,0.5471,0.4843,0.3362,0.6725,7.5,0.51044
SIATECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,Z,0.5126,0.2323,0.2062,0.2691,0.3502,8.5,0.31408
SIACTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,Z,0.6021,0.3341,0.2098,0.2576,0.5178,9.5,0.38428
SIARTECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,R,0.4357,0.2366,0.1681,0.2475,0.2932,10.5,0.27622
SIARCTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,R,0.6021,0.3341,0.2098,0.2576,0.5178,11.5,0.38428
COSIATECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,Z,0.3417,0.7594,0.6625,0.3437,0.6873,12.5,0.55892
COSIACTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,Z,0.3402,0.5936,0.6906,0.4846,0.5786,13.5,0.53752
COSIARTECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,R,0.3417,0.7548,0.7925,0.3226,0.6815,14.5,0.57862
COSIARCTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,R,0.3402,0.5936,0.6906,0.4846,0.578,15.5,0.5374
ForthSegment-RRT,Forth,Segment,Z,RRT,Z,Z,0.2909,0.415,0.426,0.2468,0.4595,16.5,0.36764
ForthCTSegment-RRT,Forth,Segment,Z,RRT,CT,Z,0.4418,0.5524,0.5867,0.3166,0.6754,17.5,0.51458
ForthRSegment-RRT,Forth,Segment,Z,RRT,Z,R,0.3661,0.4656,0.3874,0.2581,0.4474,18.5,0.38492
ForthRCTSegment-RRT,Forth,Segment,Z,RRT,CT,R,0.4418,0.5524,0.5867,0.3166,0.6754,19.5,0.51458
SIATECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,Z,0.4289,0.7301,0.8342,0.3447,0.5754,20.5,0.58266
SIACTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,Z,0.436,0.4125,0.5273,0.3147,0.5416,21.5,0.44642
SIARTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,R,0.3674,0.6814,0.8641,0.3528,0.6144,22.5,0.57602
SIARCTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,R,0.436,0.4125,0.5273,0.3147,0.5416,23.5,0.44642
