Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,% change in R3,Bach,% change in R3,Beethoven,% change in R3,Chopin,% change in R3,Gibbons,% change in R3,Mozart,Average % change in R3,,Average change over all cases,
COSIACTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,Z,-24.66784765,0.3402,0.678426052,0.5936,0,0.6906,0,0.4846,0.121128223,0.5786,-4.773658676,,,
COSIACTTECSegment,COSIATEC,Segment,Z,Z,CT,Z,,0.4516,,0.5896,,0.6906,,0.4846,,0.5779,,,,
ReCOSIATECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,Z,-18.83610451,0.3417,-9.37947494,0.7594,-13.44291539,0.6793,0,0.3437,0.40433213,0.6953,-8.250832543,,,
ReCOSIATECSegment,COSIATEC,Segment,RecurSIA,Z,Z,Z,0,0.421,0,0.838,1.949541284,0.8001,0,0.3437,0,0.6925,0.389908257,,,
COSIATECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,Z,-18.83610451,0.3417,-9.37947494,0.7594,-15.58358818,0.6625,0,0.3437,-0.750902527,0.6873,-8.910014031,,,
COSIATECSegment,COSIATEC,Segment,Z,Z,Z,Z,,0.421,,0.838,,0.7848,,0.3437,,0.6925,,,,
ReForthRCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,R,14.24877166,0.4418,3.505586592,0.7411,28.56655872,0.7543,2.905874921,0.3258,9.179745336,0.7374,11.68130745,,,
ReForthRCTSegment,Forth,Segment,RecurSIA,Z,CT,R,0,0.3867,17.62569832,0.8422,28.56655872,0.7543,2.905874921,0.3258,9.179745336,0.7374,11.65557546,,,
ForthRCTSegment-RRT,Forth,Segment,Z,RRT,CT,R,14.24877166,0.4418,-22.84916201,0.5524,0,0.5867,0,0.3166,0,0.6754,-1.720078071,,,
ForthRCTSegment,Forth,Segment,Z,Z,CT,R,,0.3867,,0.716,,0.5867,,0.3166,,0.6754,,,,
ReForthRSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,R,0,0.3661,52.25806452,0.708,31.18913378,0.5119,0,0.2581,25.03352705,0.5594,21.69614507,,,
ReForthRSegment,Forth,Segment,RecurSIA,Z,Z,R,0,0.3661,82.94623656,0.8507,31.88108662,0.5146,0,0.2581,31.09074654,0.5865,29.18361394,,,
ForthRSegment-RRT,Forth,Segment,Z,RRT,Z,R,0,0.3661,0.129032258,0.4656,-0.717580728,0.3874,0,0.2581,0,0.4474,-0.117709694,,,
ForthRSegment,Forth,Segment,Z,Z,Z,R,,0.3661,,0.465,,0.3902,,0.2581,,0.4474,,,,
ReForthCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,Z,14.24877166,0.4418,3.505586592,0.7411,28.56655872,0.7543,2.905874921,0.3258,9.179745336,0.7374,11.68130745,,,
ReForthCTSegment,Forth,Segment,RecurSIA,Z,CT,Z,0,0.3867,17.62569832,0.8422,28.56655872,0.7543,2.905874921,0.3258,9.179745336,0.7374,11.65557546,,,
ForthCTSegment-RRT,Forth,Segment,Z,RRT,CT,Z,14.24877166,0.4418,-22.84916201,0.5524,0,0.5867,0,0.3166,0,0.6754,-1.720078071,,,
ForthCTSegment,Forth,Segment,Z,Z,CT,Z,,0.3867,,0.716,,0.5867,,0.3166,,0.6754,,,,
ReForthSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,Z,2.285513361,0.2909,39.11960133,0.67,22.35872236,0.5478,1.13452188,0.2496,29.64091404,0.5957,18.90785459,,,
