Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,,Bach,,Beethoven,,Chopin,,Gibbons,,Mozart,,
ReSIARTECCompressSegment,SIATECCompress,Segment,RecurSIA,,Z,R,22.5,0.161,22.5,0.4669,22.5,0.4074,22.5,0.3579,22.5,0.4361,22.5,0.36586
ReSIARCTTECCompressSegment,SIATECCompress,Segment,RecurSIA,,CT,R,23.5,0.1517,23.5,0.2854,23.5,0.2111,23.5,0.2765,23.5,0.3129,23.5,0.24752
ReCOSIATECBB,COSIATEC,BB,RecurSIA,,Z,Z,24.5,0.1905,24.5,0.3503,24.5,0.1399,24.5,0.2495,24.5,0.2595,24.5,0.23794
ReCOSIACTTECBB,COSIATEC,BB,RecurSIA,,CT,Z,25.5,0.147,25.5,0.1681,25.5,0.0955,25.5,0.217,25.5,0.2147,25.5,0.16846
ReCOSIARTECBB,COSIATEC,BB,RecurSIA,,Z,R,26.5,0.1253,26.5,0.2526,26.5,0.1574,26.5,0.2472,26.5,0.2322,26.5,0.20294
ReCOSIARCTTECBB,COSIATEC,BB,RecurSIA,,CT,R,27.5,0.147,27.5,0.1681,27.5,0.0955,27.5,0.217,27.5,0.2108,27.5,0.16768
ReForthBB,Forth,BB,RecurSIA,,Z,Z,28.5,0.1629,28.5,0.3792,28.5,0.2614,28.5,0.236,28.5,0.3398,28.5,0.27586
ReForthCTBB,Forth,BB,RecurSIA,,CT,Z,29.5,0.3118,29.5,0.513,29.5,0.3167,29.5,0.307,29.5,0.4659,29.5,0.38288
ReForthRBB,Forth,BB,RecurSIA,,Z,R,30.5,0.2407,30.5,0.4887,30.5,0.2808,30.5,0.2184,30.5,0.3703,30.5,0.31978
ReForthRCTBB,Forth,BB,RecurSIA,,CT,R,31.5,0.3118,31.5,0.513,31.5,0.3167,31.5,0.307,31.5,0.4659,31.5,0.38288
ReSIATECCompressBB,SIATECCompress,BB,RecurSIA,,Z,Z,32.5,0.2214,32.5,0.3253,32.5,0.1839,32.5,0.27,32.5,0.3318,32.5,0.26648
ReSIACTTECCompressBB,SIATECCompress,BB,RecurSIA,,CT,Z,33.5,0.1838,33.5,0.2583,33.5,0.1657,33.5,0.2857,33.5,0.2704,33.5,0.23278
ReSIARTECCompressBB,SIATECCompress,BB,RecurSIA,,Z,R,34.5,0.1551,34.5,0.3104,34.5,0.2274,34.5,0.336,34.5,0.2893,34.5,0.26364
ReSIARCTTECCompressBB,SIATECCompress,BB,RecurSIA,,CT,R,35.5,0.1838,35.5,0.2583,35.5,0.1657,35.5,0.2857,35.5,0.2704,35.5,0.23278
COSIATEC-RRT,COSIATEC,Z,,RRT,Z,Z,0.5,0.1852,0.5,0.0981,0.5,0.0401,0.5,0.1391,0.5,0.2025,0.5,0.133
COSIACTTEC-RRT,COSIATEC,Z,,RRT,CT,Z,1.5,0.2342,1.5,0.1409,1.5,0.0535,1.5,0.1855,1.5,0.2749,1.5,0.1778
COSIARTEC-RRT,COSIATEC,Z,,RRT,Z,R,2.5,0.1975,2.5,0.1033,2.5,0.0381,2.5,0.1155,2.5,0.1594,2.5,0.12276
COSIARCTTEC-RRT,COSIATEC,Z,,RRT,CT,R,3.5,0.2342,3.5,0.1409,3.5,0.0535,3.5,0.1855,3.5,0.2607,3.5,0.17496
Forth-RRT,Forth,Z,,RRT,Z,Z,4.5,0.1455,4.5,0.2647,4.5,0.112,4.5,0.3141,4.5,0.2288,4.5,0.21302
ForthCT-RRT,Forth,Z,,RRT,CT,Z,5.5,0.3422,5.5,0.4128,5.5,0.2321,5.5,0.3323,5.5,0.5564,5.5,0.37516
ForthR-RRT,Forth,Z,,RRT,Z,R,6.5,0.3097,6.5,0.194,6.5,0.1137,6.5,0.2973,6.5,0.2738,6.5,0.2377
ForthRCT-RRT,Forth,Z,,RRT,CT,R,7.5,0.3422,7.5,0.4128,7.5,0.2321,7.5,0.3323,7.5,0.5564,7.5,0.37516
SIATECCompress-RRT,SIATECCompress,Z,,RRT,Z,Z,8.5,0.2576,8.5,0.172,8.5,0.0907,8.5,0.1825,8.5,0.2262,8.5,0.1858
SIACTTECCompress-RRT,SIATECCompress,Z,,RRT,CT,Z,9.5,0.2439,9.5,0.1966,9.5,0.102,9.5,0.1855,9.5,0.3126,9.5,0.20812
SIARTECCompress-RRT,SIATECCompress,Z,,RRT,Z,R,10.5,0.2478,10.5,0.1829,10.5,0.08,10.5,0.1803,10.5,0.1778,10.5,0.17376
SIARCTTECCompress-RRT,SIATECCompress,Z,,RRT,CT,R,11.5,0.2439,11.5,0.1966,11.5,0.102,11.5,0.1855,11.5,0.3126,11.5,0.20812
COSIATECSegment-RRT,COSIATEC,Segment,,RRT,Z,Z,12.5,0.1808,12.5,0.6135,12.5,0.3528,12.5,0.3846,12.5,0.5617,12.5,0.41868
COSIACTTECSegment-RRT,COSIATEC,Segment,,RRT,CT,Z,13.5,0.1668,13.5,0.4281,13.5,0.2674,13.5,0.3342,13.5,0.4501,13.5,0.32932
COSIARTECSegment-RRT,COSIATEC,Segment,,RRT,Z,R,14.5,0.185,14.5,0.6838,14.5,0.4126,14.5,0.382,14.5,0.5367,14.5,0.44002
COSIARCTTECSegment-RRT,COSIATEC,Segment,,RRT,CT,R,15.5,0.1668,15.5,0.4281,15.5,0.2674,15.5,0.3342,15.5,0.428,15.5,0.3249
ForthSegment-RRT,Forth,Segment,,RRT,Z,Z,16.5,0.2354,16.5,0.321,16.5,0.3287,16.5,0.2468,16.5,0.3352,16.5,0.29342
ForthCTSegment-RRT,Forth,Segment,,RRT,CT,Z,17.5,0.2827,17.5,0.4477,17.5,0.3223,17.5,0.3149,17.5,0.5899,17.5,0.3915
ForthRSegment-RRT,Forth,Segment,,RRT,Z,R,18.5,0.2803,18.5,0.3133,18.5,0.2781,18.5,0.2427,18.5,0.3894,18.5,0.30076
ForthRCTSegment-RRT,Forth,Segment,,RRT,CT,R,19.5,0.2827,19.5,0.4477,19.5,0.3223,19.5,0.3149,19.5,0.5899,19.5,0.3915
SIATECCompressSegment-RRT,SIATECCompress,Segment,,RRT,Z,Z,20.5,0.2893,20.5,0.6173,20.5,0.553,20.5,0.3961,20.5,0.5473,20.5,0.4806
SIACTTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,CT,Z,21.5,0.2041,21.5,0.2632,21.5,0.2256,21.5,0.2248,21.5,0.3727,21.5,0.25808
SIARTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,Z,R,22.5,0.2554,22.5,0.6184,22.5,0.619,22.5,0.3852,22.5,0.557,22.5,0.487
SIARCTTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,CT,R,23.5,0.2041,23.5,0.2632,23.5,0.2256,23.5,0.2248,23.5,0.3727,23.5,0.25808
COSIATECBB-RRT,COSIATEC,BB,,RRT,Z,Z,24.5,0.2118,24.5,0.3262,24.5,0.147,24.5,0.2649,24.5,0.3707,24.5,0.26412
COSIACTTECBB-RRT,COSIATEC,BB,,RRT,CT,Z,25.5,0.2254,25.5,0.2235,25.5,0.1076,25.5,0.217,25.5,0.3273,25.5,0.22016
COSIARTECBB-RRT,COSIATEC,BB,,RRT,Z,R,26.5,0.2187,26.5,0.4105,26.5,0.1826,26.5,0.287,26.5,0.2994,26.5,0.27964
COSIARCTTECBB-RRT,COSIATEC,BB,,RRT,CT,R,27.5,0.2254,27.5,0.2235,27.5,0.1076,27.5,0.217,27.5,0.312,27.5,0.2171
