Algorithm,Bach,Beethoven,Chopin,Gibbons,Mozart
SIARCTTECCompress,0.4949,0.1907,0.2809,0.1922,0.5225
SIARCTTECCompress-RRT,0.3405,0.2038,0.2809,0.1922,0.5225
SIARCTTECCompressBB,0.4901,0.2231,0.3543,0.2035,0.5507
SIARCTTECCompressBB-RRT,0.3477,0.2462,0.3543,0.2035,0.5507
SIARCTTECCompressSegment,0.4288,0.2496,0.3844,0.1896,0.5661
SIARCTTECCompressSegment-RRT,0.3090,0.2740,0.3844,0.1896,0.5661
SIARTECCompress,0.2405,0.2289,0.1158,0.0905,0.3932
SIARTECCompress-RRT,0.2487,0.1912,0.1175,0.0905,0.3932
SIARTECCompressBB,0.2828,0.3690,0.3192,0.1762,0.5429
SIARTECCompressBB-RRT,0.2596,0.3587,0.3043,0.1762,0.5429
SIARTECCompressSegment,0.2681,0.4319,0.5610,0.2656,0.6327
SIARTECCompressSegment-RRT,0.2386,0.4914,0.6267,0.2656,0.6327
SIATECCompress,0.2405,0.2289,0.2887,0.1484,0.3955
SIATECCompress-RRT,0.2487,0.1912,0.2334,0.1484,0.3955
SIATECCompressBB,0.2828,0.3690,0.5140,0.4004,0.5727
SIATECCompressBB-RRT,0.2596,0.3587,0.4129,0.4004,0.5727
SIATECCompressSegment,0.2681,0.4319,0.6280,0.6096,0.6158
SIATECCompressSegment-RRT,0.2386,0.4914,0.5513,0.6096,0.6158
